state,x,y
Andaman And Nicobar,198,-197
Andra Pradesh,-68,-142
Arunanchal Pradesh,200,122
Assam,161,84
Bihar,56,61
Chattisgarh,-8,-13
Delhi,-86,117
Goa,-146,-130
Gujrat,-183,17
Haryana,-113,138
Himanchal Pradesh,-88,177
Jammu And Kashmir,-93,226
Jharkhand,47,24
Karnataka,-117,-147
Kerala,-107,-231
Lakshadweep,-173,-212
Madhya Pradesh,-66,14
Maharashta,-121,-55
Manipur,195,55
Meghalaya,145,65
Mizoram,180,27
Nagaland,202,79
Odisha,37,-34
Puducherry,-47,-198
Punjab,-112,159
Rajasthan,-141,77
Sikkim,103,102
Tamil Nadu,-76,-216
Telangana,-57,-88
Tripura,158,33
Uttarakhand,-53,144
Uttar Pradesh,-27,80
West Bengal,95,13
